"","TOT_FLY_OPS","TOT_DIR_MAINT","TOTAL_AIR_HOURS","AIRCRAFT_CONFIG","UNIQUE_CARRIER_NAME","CARRIER","REGION","YEAR","QUARTER","time_pt","AC_GROUP","SSD_NAME","MANUFACTURER","LONG_NAME","SHORT_NAME","BEGIN_DATE"
"16051",10479.2,13851.85,5.02,2,"ABX Air Inc","ABX","D",2020,3,2020.3,6,"BOEING 767-200/ER","BOEING","BOEING 767-200/ER/EM","B767-2/R","1/1/1990 12:00:00 AM"
"16052",90938,5094,6.44,1,"United Air Lines Inc.","UA","A",2008,3,2008.3,8,"BOEING 747-400","BOEING","BOEING 747-400","B747-4","1/1/1990 12:00:00 AM"
"16053",30510.55,10221.5,0.87,2,"Southern Air Inc.","9S","I",2008,3,2008.3,8,"BOEING 747-200/300","BOEING","BOEING 747-200/300","B747-2/3","1/1/1990 12:00:00 AM"
"16054",43700.3,11605.53,9.54,1,"Hawaiian Airlines Inc.","HA","P",2016,3,2016.3,6,"A330-200/220F","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A330-200","A330-2","1/1/1992 12:00:00 AM"
"16055",48591.99,5781.15,3.47,2,"United Parcel Service","5X","D",2012,4,2012.4,8,"BOEING 747-400","BOEING","BOEING 747-400","B747-4","1/1/1990 12:00:00 AM"
"16056",21034.92,7522.98,3.04,2,"United Parcel Service","5X","D",2016,1,2016.1,8,"BOEING 747-400","BOEING","BOEING 747-400","B747-4","1/1/1990 12:00:00 AM"
"16057",26049.34,6503.54,6.46,2,"Atlas Air Inc.","5Y","D",2017,3,2017.3,8,"BOEING 747-400","BOEING","BOEING 747-400","B747-4","1/1/1990 12:00:00 AM"
"16058",47261,9142,12.36,1,"Continental Air Lines Inc.","CO","D",2007,2,2007.2,6,"BOEING 757-200","BOEING","BOEING 757-200","B757-2","1/1/1990 12:00:00 AM"
"16059",12752.46,6068.83,2.39,2,"Northern Air Cargo Inc.","NC","I",2023,2,2023.2,6,"BOEING 767-300/ER","BOEING","BOEING 767-300/300ER","B767-3/R","1/1/1990 12:00:00 AM"
"16060",27726,5343,9.09,1,"Continental Air Lines Inc.","CO","L",2010,2,2010.2,6,"BOEING 737-700/LR","BOEING","BOEING 737-700/700LR/MAX 7","B737-7","1/1/1998 12:00:00 AM"
"16061",70845.88,16406.56,9.76,1,"Hawaiian Airlines Inc.","HA","D",2013,1,2013.1,6,"BOEING 767-300/ER","BOEING","BOEING 767-300/300ER","B767-3/R","1/1/1990 12:00:00 AM"
"16062",16472.11,7390.47,2.85,2,"United Parcel Service","5X","D",2020,2,2020.2,8,"BOEING 747-400","BOEING","BOEING 747-400","B747-4","1/1/1990 12:00:00 AM"
"16063",66139,11483,10.3,1,"United Air Lines Inc.","UA","D",2008,3,2008.3,6,"BOEING 777-200","BOEING","BOEING 777-200ER/200LR/233LR","B777-2","1/1/1994 12:00:00 AM"
"16064",25642,5248,5.9,2,"United Parcel Service","5X","P",2004,3,2004.3,6,"BOEING 767-300/ER","BOEING","BOEING 767-300/300ER","B767-3/R","1/1/1990 12:00:00 AM"
"16065",52298,9583,9.33,1,"American Airlines Inc.","AA","D",2005,3,2005.3,6,"A300-600/R/CF/RCF","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A300-600/R/CF/RCF","A300-6","1/1/1990 12:00:00 AM"
"16066",16490.75,7398.83,2.94,2,"United Parcel Service","5X","A",2020,2,2020.2,8,"BOEING 747-400","BOEING","BOEING 747-400","B747-4","1/1/1990 12:00:00 AM"
"16067",15235.51,3446.16,1.4,1,"American Airlines Inc.","AA","L",2020,4,2020.4,6,"BOEING 777-300/ER","BOEING","BOEING 777-300/300ER/333ER","B777-3","3/1/2004 12:00:00 AM"
"16068",9380,6384,1.07,2,"United Parcel Service","5X","D",2004,3,2004.3,7,"BOEING 727-100","BOEING","BOEING 727-100","B727-100","1/1/1990 12:00:00 AM"
"16069",12425,978,1.48,2,"Federal Express Corporation","FX","L",2018,2,2018.2,6,"BOEING 767-300/ER","BOEING","BOEING 767-300/300ER","B767-3/R","1/1/1990 12:00:00 AM"
"16070",22540.96,6188.7,8.23,1,"US Airways Inc.","US","L",2015,1,2015.1,6,"A319","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A319","A319","1/1/1997 12:00:00 AM"
"16071",41991.25,9471.65,3.55,2,"United Parcel Service","5X","D",2014,4,2014.4,8,"BOEING 747-400","BOEING","BOEING 747-400","B747-4","1/1/1990 12:00:00 AM"
"16072",24125.21,7545.31,2.8,2,"United Parcel Service","5X","A",2021,1,2021.1,8,"BOEING 747-400","BOEING","BOEING 747-400","B747-4","1/1/1990 12:00:00 AM"
"16073",24897.3,5160.55,4.27,1,"American Airlines Inc.","AA","D",2019,4,2019.4,6,"BOEING 767-300/ER","BOEING","BOEING 767-300/300ER","B767-3/R","1/1/1990 12:00:00 AM"
"16074",27596.62,3434.35,5.57,1,"American Airlines Inc.","AA","P",2020,4,2020.4,6,"BOEING 777-300/ER","BOEING","BOEING 777-300/300ER/333ER","B777-3","3/1/2004 12:00:00 AM"
"16075",17709.64,13194.46,4.97,2,"ABX Air Inc","ABX","D",2016,1,2016.1,6,"BOEING 767-200/ER","BOEING","BOEING 767-200/ER/EM","B767-2/R","1/1/1990 12:00:00 AM"
"16076",26979.07,6224.66,6.01,1,"TEM Enterprises dba  Avelo Airlines","XP","D",2024,1,2024.1,6,"BOEING 737-700/LR","BOEING","BOEING 737-700/700LR/MAX 7","B737-7","1/1/1998 12:00:00 AM"
"16077",42607.85,5394.61,3,1,"American Airlines Inc.","AA","D",2022,3,2022.3,6,"BOEING 777-200","BOEING","BOEING 777-200ER/200LR/233LR","B777-2","1/1/1994 12:00:00 AM"
"16078",33927.83,13922.12,10.7,1,"Sun Country Airlines d/b/a MN Airlines","SY","D",2016,4,2016.4,6,"BOEING 737-800","BOEING","BOEING 737-800","B737-8","1/1/1998 12:00:00 AM"
"16079",15774.77,13544.67,5.19,2,"ABX Air Inc","ABX","D",2015,3,2015.3,6,"BOEING 767-200/ER","BOEING","BOEING 767-200/ER/EM","B767-2/R","1/1/1990 12:00:00 AM"
"16080",22021.78,5670.88,3.32,2,"United Parcel Service","5X","A",2020,4,2020.4,8,"BOEING 747-400","BOEING","BOEING 747-400","B747-4","1/1/1990 12:00:00 AM"
"16081",45034.9,4340.32,10.81,1,"Spirit Air Lines","NK","D",2006,2,2006.2,6,"A319","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A319","A319","1/1/1997 12:00:00 AM"
"16082",47392,4038,7.72,1,"Delta Air Lines Inc.","DL","P",2011,4,2011.4,6,"BOEING 767-300/ER","BOEING","BOEING 767-300/300ER","B767-3/R","1/1/1990 12:00:00 AM"
"16083",44166,5116,3.88,1,"Northwest Airlines Inc.","NW","P",2004,4,2004.4,8,"BOEING 747-200/300","BOEING","BOEING 747-200/300","B747-2/3","1/1/1990 12:00:00 AM"
"16084",75984.63,17808.11,6.26,2,"Kalitta Air LLC","KAQ","I",2008,2,2008.2,8,"BOEING 747-200/300","BOEING","BOEING 747-200/300","B747-2/3","1/1/1990 12:00:00 AM"
"16085",12141.06,6419.3,5.17,2,"Astar USA, LLC","ER","D",2007,1,2007.1,7,"BOEING 727-200","BOEING","BOEING 727-200/231A","B727-2","1/1/1990 12:00:00 AM"
"16086",87024,7226,11.22,1,"Continental Air Lines Inc.","CO","A",2008,3,2008.3,6,"BOEING 767-400/ER","BOEING","BOEING 767-400/ER","B767-4","1/1/1998 12:00:00 AM"
"16087",14854.06,1319.48,3.41,1,"United Air Lines Inc.","UA","A",2016,1,2016.1,6,"B787-9 DREAMLINER","BOEING","B787-900 DREAMLINER","B787-9","1/1/2012 12:00:00 AM"
"16088",23077,13242,5.69,1,"Alaska Airlines Inc.","AS","D",2022,1,2022.1,6,"BOEING 737-900","BOEING","BOEING 737-900","B737-9","4/1/2002 12:00:00 AM"
